Date,Month,Year,Journal Entry ID,Account,Debit,Credit,Solde,Description,Document Reference,Currency,Supplier/client,Component
2022-01-11,1,2022,,Cost of goods sold,1214153.47,,1214153.47,,,,,Product A
2022-01-11,1,2022,,Inventory Finished goods Product A,,1214153.47,-1214153.47,,,,,Product A
2022-01-11,1,2022,,Sales Revenue,,1839104.00,-1839104.00,,,,Product A,Client 9
2022-01-12,1,2022,,Accounts Receivable,1756304.00,,1756304.00,,,,Product A,Client 7
2022-01-12,1,2022,,Cost of goods sold,1091284.66,,1091284.66,,,,,Product A
2022-01-12,1,2022,,Inventory Finished goods Product A,,1091284.66,-1091284.66,,,,,Product A
2022-01-12,1,2022,,Sales Revenue,,1756304.00,-1756304.00,,,,Product A,Client 7
2022-01-17,1,2022,,Accounts Receivable,872984.00,,872984.00,,,,Product A,Client 2
2022-01-17,1,2022,,Accounts Receivable,644640.00,,644640.00,,,,Product B,Client 4
2022-01-17,1,2022,,Cost of goods sold,542431.18,,542431.18,,,,,Product A
2022-01-17,1,2022,,Cost of goods sold,503729.28,,503729.28,,,,,Product B
2022-01-17,1,2022,,Inventory Finished goods Product A,,542431.18,-542431.18,,,,,Product A
2022-01-17,1,2022,,Inventory Finished goods Product B,,503729.28,-503729.28,,,,,Product B
2022-01-17,1,2022,,Sales Revenue,,872984.00,-872984.00,,,,Product A,Client 2
2022-01-17,1,2022,,Sales Revenue,,644640.00,-644640.00,,,,Product B,Client 4
2022-01-18,1,2022,,Accounts Receivable,1115827.00,,1115827.00,,,,Product A,Client 5
2022-01-18,1,2022,,Cost of goods sold,1003104.73,,1003104.73,,,,,Product A
2022-01-18,1,2022,,Inventory Finished goods Product A,,1003104.73,-1003104.73,,,,,Product A
2022-01-18,1,2022,,Sales Revenue,,1115827.00,-1115827.00,,,,Product A,Client 5
2022-01-19,1,2022,,Accounts Receivable,1110474.00,,1110474.00,,,,Product A,Client 10
2022-01-19,1,2022,,Cost of goods sold,919995.05,,919995.05,,,,,Product A
2022-01-19,1,2022,,Inventory Finished goods Product A,,919995.05,-919995.05,,,,,Product A
2022-01-19,1,2022,,Sales Revenue,,1110474.00,-1110474.00,,,,Product A,Client 10
2022-01-20,1,2022,,Accounts Receivable,601126.00,,601126.00,,,,Product C,Client 3
2022-01-20,1,2022,,Cost of goods sold,507463.76,,507463.76,,,,,Product C
2022-01-20,1,2022,,Inventory Finished goods Product C,,507463.76,-507463.76,,,,,Product C
2022-01-20,1,2022,,Sales Revenue,,601126.00,-601126.00,,,,Product C,Client 3
2022-01-21,1,2022,,Accounts Receivable,550988.00,,550988.00,,,,Product B,Client 6
2022-01-21,1,2022,,Cost of goods sold,414301.39,,414301.39,,,,,Product B
2022-01-21,1,2022,,Inventory Finished goods Product B,,414301.39,-414301.39,,,,,Product B
2022-01-21,1,2022,,Sales Revenue,,550988.00,-550988.00,,,,Product B,Client 6
2022-01-23,1,2022,,Accounts Receivable,4248900.00,,4248900.00,,,,Product C,Client 1
2022-01-23,1,2022,,Cost of goods sold,3802085.68,,3802085.68,,,,,Product C
2022-01-23,1,2022,,Inventory Finished goods Product C,,3802085.68,-3802085.68,,,,,Product C
2022-01-23,1,2022,,Sales Revenue,,4248900.00,-4248900.00,,,,Product C,Client 1
2022-01-27,1,2022,,Accounts Receivable,1005360.00,,1005360.00,,,,Product B,Client 8
2022-01-27,1,2022,,Cost of goods sold,564304.32,,564304.32,,,,,Product B
2022-01-27,1,2022,,Inventory Finished goods Product B,,564304.32,-564304.32,,,,,Product B
2022-01-27,1,2022,,Sales Revenue,,1005360.00,-1005360.00,,,,Product B,Client 8
2022-01-31,1,2022,,Administration,795212.00,,795212.00,,,,,
2022-01-31,1,2022,,Cash and cash equivalents,,281426.00,-281426.00,,,,,
2022-01-31,1,2022,,Cash and cash equivalents,,991135.00,-991135.00,,,,,
2022-01-31,1,2022,,Cash and cash equivalents,,778137.00,-778137.00,,,,,
2022-01-31,1,2022,,Cash and cash equivalents,,795212.00,-795212.00,,,,,
2022-01-31,1,2022,,Cash and cash equivalents,1222608.00,,1222608.00,,,,,
2022-01-31,1,2022,,Cash and cash equivalents,,1223814.00,-1223814.00,,,,,
2022-01-31,1,2022,,Facility,778137.00,,778137.00,,,,,
2022-01-31,1,2022,,Financial Cost,1223814.00,,1223814.00,,,,,
2022-01-31,1,2022,,Financial income,,1222608.00,-1222608.00,,,,,
2022-01-31,1,2022,,Personnel,991135.00,,991135.00,,,,,
2022-01-31,1,2022,,Wages payables,281426.00,,281426.00,,,,,
2022-02-01,2,2022,,Cash and Cash Equivalents,6455000.00,,6455000.00,,,,,
2022-02-01,2,2022,, Intangible Assets ,9045000.00,,9045000.00,,,,,
2022-02-01,2,2022,,"Property, Plant, and Equipment (PPE)",45000000.00,,45000000.00,,,,,
2022-02-01,2,2022,, Share Capital ,,50000000.00,-50000000.00,,,,,
2022-02-01,2,2022,, Short-term Debt ,,10500000.00,-10500000.00,,,,,
2022-02-04,2,2022,,Accounts Payable,,800000.00,-800000.00,,,,Component 1, Supplier A 
2022-02-04,2,2022,,Accounts Payable,,945000.00,-945000.00,,,,Component 2, Supplier A 
2022-02-04,2,2022,,Accounts Payable,,1800000.00,-1800000.00,,,,Component 3, Supplier A 
2022-02-04,2,2022,,Accounts Payable,,1980000.00,-1980000.00,,,,Component 4, Supplier B 
2022-02-04,2,2022,,Accounts Payable,,855000.00,-855000.00,,,,Component 5, Supplier D 
2022-02-04,2,2022,,Accounts Payable,,2192505.00,-2192505.00,,,,Component 6, Supplier D 
2022-02-04,2,2022,,Raw material inventory,800000.00,,800000.00,,,,Component 1, Supplier A 
2022-02-04,2,2022,,Raw material inventory,945000.00,,945000.00,,,,Component 2, Supplier A 
2022-02-04,2,2022,,Raw material inventory,1800000.00,,1800000.00,,,,Component 3, Supplier A 
2022-02-04,2,2022,,Raw material inventory,1980000.00,,1980000.00,,,,Component 4, Supplier B 
2022-02-04,2,2022,,Raw material inventory,855000.00,,855000.00,,,,Component 5, Supplier D 
2022-02-04,2,2022,,Raw material inventory,2192505.00,,2192505.00,,,,Component 6, Supplier D 
2022-02-11,2,2022,,Cost of goods sold,927914.80,,927914.80,,,,Supplier A,Component 1
2022-02-11,2,2022,,Cost of goods sold,925831.56,,925831.56,,,,Supplier A,Component 2
2022-02-11,2,2022,,Cost of goods sold,1954768.87,,1954768.87,,,,Supplier A,Component 3
2022-02-11,2,2022,,Cost of goods sold,2153616.00,,2153616.00,,,,Supplier B,Component 4
2022-02-11,2,2022,,Cost of goods sold,796282.75,,796282.75,,,,Supplier D,Component 5
2022-02-11,2,2022,,Cost of goods sold,2066008.00,,2066008.00,,,,Supplier D,Component 6
2022-02-11,2,2022,,Cost of goods sold,,927914.80,-927914.80,,,,,Component 1
2022-02-11,2,2022,,Cost of goods sold,,925831.56,-925831.56,,,,,Component 2
2022-02-11,2,2022,,Cost of goods sold,,1954768.87,-1954768.87,,,,,Component 3
2022-02-11,2,2022,,Cost of goods sold,,2153616.00,-2153616.00,,,,,Component 4
2022-02-11,2,2022,,Cost of goods sold,,796282.75,-796282.75,,,,,Component 5
2022-02-11,2,2022,,Cost of goods sold,,2066008.00,-2066008.00,,,,,Component 6
2022-02-11,2,2022,,Raw material inventory,,927914.80,-927914.80,,,,Component 1, Supplier A 
2022-02-11,2,2022,,Raw material inventory,,925831.56,-925831.56,,,,Component 2, Supplier A 
2022-02-11,2,2022,,Raw material inventory,,1954768.87,-1954768.87,,,,Component 3, Supplier A 
2022-02-11,2,2022,,Raw material inventory,,2153616.00,-2153616.00,,,,Component 4, Supplier B 
2022-02-11,2,2022,,Raw material inventory,,796282.75,-796282.75,,,,Component 5, Supplier D 
2022-02-11,2,2022,,Raw material inventory,,2066008.00,-2066008.00,,,,Component 6, Supplier D 
2022-02-12,2,2022,,Accounts Receivable,543344.00,,543344.00,,,,Product B,Client 8
2022-02-12,2,2022,,Cost of goods sold,397784.02,,397784.02,,,,,Product B
2022-02-12,2,2022,,Inventory Finished goods Product A,4603648.25,,4603648.25,,,,,
2022-02-12,2,2022,,Inventory Finished goods Product B,2003314.70,,2003314.70,,,,,
2022-02-12,2,2022,,Inventory Finished goods Product B,,397784.02,-397784.02,,,,,Product B
2022-02-12,2,2022,,Inventory Finished goods Product C,2416655.13,,2416655.13,,,,,
2022-02-12,2,2022,,Sales Revenue,,543344.00,-543344.00,,,,Product B,Client 8
2022-02-12,2,2022,,Wages payables,,199196.10,-199196.10,,,,,
2022-02-14,2,2022,,Cost of goods sold,258045.86,,258045.86,,,,,Product C
2022-02-14,2,2022,,Inventory Finished goods Product C,,258045.86,-258045.86,,,,,Product C
2022-02-14,2,2022,,Sales Revenue,,273400.00,-273400.00,,,,Product C,Client 3
2022-02-15,2,2022,,Accounts Receivable,483771.00,,483771.00,,,,Product B,Client 6
2022-02-15,2,2022,,Cost of goods sold,437061.37,,437061.37,,,,,Product B
2022-02-15,2,2022,,Inventory Finished goods Product B,,437061.37,-437061.37,,,,,Product B
2022-02-15,2,2022,,Sales Revenue,,483771.00,-483771.00,,,,Product B,Client 6
2022-02-17,2,2022,,Accounts Receivable,2424273.00,,2424273.00,,,,Product C,Client 1
2022-02-17,2,2022,,Cost of goods sold,2158609.27,,2158609.27,,,,,Product C
2022-02-17,2,2022,,Inventory Finished goods Product C,,2158609.27,-2158609.27,,,,,Product C
2022-02-17,2,2022,,Sales Revenue,,2424273.00,-2424273.00,,,,Product C,Client 1
2022-02-18,2,2022,,Accounts Receivable,1348382.00,,1348382.00,,,,Product B,Client 4
2022-02-18,2,2022,,Accounts Receivable,1282260.00,,1282260.00,,,,Product A,Client 7
2022-02-18,2,2022,,Cost of goods sold,1168469.32,,1168469.32,,,,,Product B
2022-02-18,2,2022,,Cost of goods sold,699427.23,,699427.23,,,,,Product A
2022-02-18,2,2022,,Inventory Finished goods Product A,,699427.23,-699427.23,,,,,Product A
2022-02-18,2,2022,,Inventory Finished goods Product B,,1168469.32,-1168469.32,,,,,Product B
2022-02-18,2,2022,,Sales Revenue,,1348382.00,-1348382.00,,,,Product B,Client 4
2022-02-18,2,2022,,Sales Revenue,,1282260.00,-1282260.00,,,,Product A,Client 7
2022-02-19,2,2022,,Accounts Receivable,2014920.00,,2014920.00,,,,Product A,Client 10
2022-02-19,2,2022,,Cost of goods sold,1095057.58,,1095057.58,,,,,Product A
2022-02-19,2,2022,,Inventory Finished goods Product A,,1095057.58,-1095057.58,,,,,Product A
2022-02-19,2,2022,,Sales Revenue,,2014920.00,-2014920.00,,,,Product A,Client 10
2022-02-21,2,2022,,Accounts Receivable,1025715.00,,1025715.00,,,,Product A,Client 2
2022-02-21,2,2022,,Accounts Receivable,1502664.00,,1502664.00,,,,Product A,Client 9
2022-02-21,2,2022,,Cost of goods sold,693000.87,,693000.87,,,,,Product A
2022-02-21,2,2022,,Cost of goods sold,1012264.21,,1012264.21,,,,,Product A
2022-02-21,2,2022,,Inventory Finished goods Product A,,693000.87,-693000.87,,,,,Product A
2022-02-21,2,2022,,Inventory Finished goods Product A,,1012264.21,-1012264.21,,,,,Product A
2022-02-21,2,2022,,Sales Revenue,,1025715.00,-1025715.00,,,,Product A,Client 2
2022-02-21,2,2022,,Sales Revenue,,1502664.00,-1502664.00,,,,Product A,Client 9
2022-02-25,2,2022,,Accounts Payable,760000.00,,760000.00,,,,Component 1, Supplier A 
2022-02-25,2,2022,,Cash and cash equivalents,,760000.00,-760000.00,,,,Component 1, Supplier A 
2022-02-26,2,2022,,Accounts Receivable,1827738.00,,1827738.00,,,,Product A,Client 5
2022-02-26,2,2022,,Cost of goods sold,1103898.37,,1103898.37,,,,,Product A
2022-02-26,2,2022,,Inventory Finished goods Product A,,1103898.37,-1103898.37,,,,,Product A
2022-02-26,2,2022,,Sales Revenue,,1827738.00,-1827738.00,,,,Product A,Client 5
2022-02-14,2,2022,,Accounts Receivable,273400.00,,273400.00,,,,Product C,Client 3
2022-02-28,2,2022,,Administration,790258.00,,790258.00,,,,,
2022-02-28,2,2022,,Cash and cash equivalents,,199196.10,-199196.10,,,,,
2022-02-28,2,2022,,Cash and cash equivalents,601126.00,,601126.00,,,,Product C,Client 3
2022-02-28,2,2022,,Cash and cash equivalents,,938597.00,-938597.00,,,,,
2022-02-28,2,2022,,Cash and cash equivalents,,783888.00,-783888.00,,,,,
2022-02-28,2,2022,,Cash and cash equivalents,,790258.00,-790258.00,,,,,
2022-02-28,2,2022,,Cash and cash equivalents,1229651.00,,1229651.00,,,,,
2022-02-28,2,2022,,Cash and cash equivalents,,1206806.00,-1206806.00,,,,,
2022-02-28,2,2022,,Facility,783888.00,,783888.00,,,,,
2022-02-28,2,2022,,Financial Cost,1206806.00,,1206806.00,,,,,
2022-02-28,2,2022,,Financial income,,1229651.00,-1229651.00,,,,,
2022-02-28,2,2022,,Personnel,938597.00,,938597.00,,,,,
2022-02-28,2,2022,,Wages payables,199196.10,,199196.10,,,,,
2022-03-01,3,2022,,Accounts Receivable,,644640.00,-644640.00,,,,Product B,Client 4
2022-03-01,3,2022,,Cash and cash equivalents,644640.00,,644640.00,,,,Product B,Client 4
2022-03-01,3,2022,, Cash and Cash Equivalents ,6455000.00,,6455000.00,,,,,
2022-03-01,3,2022,, Intangible Assets ,9045000.00,,9045000.00,,,,,
2022-03-01,3,2022,,"Property, Plant, and Equipment (PPE)",45000000.00,,45000000.00,,,,,
2022-03-01,3,2022,, Share Capital ,,50000000.00,-50000000.00,,,,,
2022-03-01,3,2022,, Short-term Debt ,,10500000.00,-10500000.00,,,,,
2022-03-04,3,2022,,Accounts Payable,,760000.00,-760000.00,,,,Component 1, Supplier A 
2022-03-04,3,2022,,Accounts Payable,,855000.00,-855000.00,,,,Component 2, Supplier A 
2022-03-04,3,2022,,Accounts Payable,,2000000.00,-2000000.00,,,,Component 3, Supplier A 
2022-03-04,3,2022,,Accounts Payable,,1980000.00,-1980000.00,,,,Component 4, Supplier B 
2022-03-04,3,2022,,Accounts Payable,,1020000.00,-1020000.00,,,,Component 5, Supplier D 
2022-03-04,3,2022,,Accounts Payable,,3300000.00,-3300000.00,,,,Component 6, Supplier D 
2022-03-04,3,2022,,Raw material inventory,760000.00,,760000.00,,,,Component 1, Supplier A 
2022-03-04,3,2022,,Raw material inventory,855000.00,,855000.00,,,,Component 2, Supplier A 
2022-03-04,3,2022,,Raw material inventory,2000000.00,,2000000.00,,,,Component 3, Supplier A 
2022-03-04,3,2022,,Raw material inventory,1980000.00,,1980000.00,,,,Component 4, Supplier B 
2022-03-04,3,2022,,Raw material inventory,1020000.00,,1020000.00,,,,Component 5, Supplier D 
2022-03-04,3,2022,,Raw material inventory,3300000.00,,3300000.00,,,,Component 6, Supplier D 
2022-03-11,3,2022,,Cost of goods sold,404875.60,,404875.60,,,,Supplier A,Component 1
2022-03-11,3,2022,,Cost of goods sold,830798.70,,830798.70,,,,Supplier A,Component 2
2022-03-11,3,2022,,Cost of goods sold,2022844.58,,2022844.58,,,,Supplier A,Component 3
2022-03-11,3,2022,,Cost of goods sold,955314.00,,955314.00,,,,Supplier B,Component 4
2022-03-11,3,2022,,Cost of goods sold,998481.35,,998481.35,,,,Supplier D,Component 5
2022-03-11,3,2022,,Cost of goods sold,2980589.00,,2980589.00,,,,Supplier D,Component 6
2022-03-11,3,2022,,Cost of goods sold,,404875.60,-404875.60,,,,,Component 1
2022-03-11,3,2022,,Cost of goods sold,,830798.70,-830798.70,,,,,Component 2
2022-03-11,3,2022,,Cost of goods sold,,2022844.58,-2022844.58,,,,,Component 3
2022-03-11,3,2022,,Cost of goods sold,,955314.00,-955314.00,,,,,Component 4
2022-03-11,3,2022,,Cost of goods sold,,998481.35,-998481.35,,,,,Component 5
2022-03-11,3,2022,,Cost of goods sold,,2980589.00,-2980589.00,,,,,Component 6
2022-03-11,3,2022,,Raw material inventory,,404875.60,-404875.60,,,,Component 1, Supplier A 
2022-03-11,3,2022,,Raw material inventory,,830798.70,-830798.70,,,,Component 2, Supplier A 
2022-03-11,3,2022,,Raw material inventory,,2022844.58,-2022844.58,,,,Component 3, Supplier A 
2022-03-11,3,2022,,Raw material inventory,,955314.00,-955314.00,,,,Component 4, Supplier B 
2022-03-11,3,2022,,Raw material inventory,,998481.35,-998481.35,,,,Component 5, Supplier D 
2022-03-11,3,2022,,Raw material inventory,,2980589.00,-2980589.00,,,,Component 6, Supplier D 
2022-03-12,3,2022,,Accounts Receivable,,1110474.00,-1110474.00,,,,Product A,Client 10
2022-03-12,3,2022,,Cash and cash equivalents,1110474.00,,1110474.00,,,,Product A,Client 10
2022-03-12,3,2022,,Inventory Finished goods Product A,2144872.11,,2144872.11,,,,,
2022-03-12,3,2022,,Inventory Finished goods Product B,2357264.13,,2357264.13,,,,,
2022-03-12,3,2022,,Inventory Finished goods Product C,3906412.00,,3906412.00,,,,,
2022-03-12,3,2022,,Wages payables,,215645.00,-215645.00,,,,,
2022-03-14,3,2022,,Accounts Receivable,664416.00,,664416.00,,,,Product A,Client 9
2022-03-14,3,2022,,Cost of goods sold,561297.59,,561297.59,,,,,Product A
2022-03-14,3,2022,,Inventory Finished goods Product A,,561297.59,-561297.59,,,,,Product A
2022-03-14,3,2022,,Sales Revenue,,664416.00,-664416.00,,,,Product A,Client 9
2022-03-15,3,2022,,Accounts Payable,810000.00,,810000.00,,,,Component 2, Supplier A 
2022-03-15,3,2022,,Accounts Receivable,585872.00,,585872.00,,,,Product B,Client 6
2022-03-15,3,2022,,Cash and cash equivalents,,810000.00,-810000.00,,,,Component 2, Supplier A 
2022-03-15,3,2022,,Cost of goods sold,451142.36,,451142.36,,,,,Product B
2022-03-15,3,2022,,Inventory Finished goods Product B,,451142.36,-451142.36,,,,,Product B
2022-03-15,3,2022,,Sales Revenue,,585872.00,-585872.00,,,,Product B,Client 6
2022-02-28,2,2022,,Accounts Receivable,,601126.00,-601126.00,,,,Product C,Client 3
2022-03-16,3,2022,,Cost of goods sold,826197.97,,826197.97,,,,,Product C
2022-03-16,3,2022,,Inventory Finished goods Product C,,826197.97,-826197.97,,,,,Product C
2022-03-16,3,2022,,Sales Revenue,,1217721.00,-1217721.00,,,,Product C,Client 3
2022-03-17,3,2022,,Accounts Receivable,3772578.00,,3772578.00,,,,Product C,Client 1
2022-03-17,3,2022,,Accounts Receivable,446978.00,,446978.00,,,,Product A,Client 7
2022-03-17,3,2022,,Accounts Receivable,372166.00,,372166.00,,,,Product A,Client 10
2022-03-17,3,2022,,Cost of goods sold,3080214.02,,3080214.02,,,,,Product C
2022-03-17,3,2022,,Cost of goods sold,372865.75,,372865.75,,,,,Product A
2022-03-17,3,2022,,Cost of goods sold,289029.55,,289029.55,,,,,Product A
2022-03-17,3,2022,,Inventory Finished goods Product A,,372865.75,-372865.75,,,,,Product A
2022-03-17,3,2022,,Inventory Finished goods Product A,,289029.55,-289029.55,,,,,Product A
2022-03-17,3,2022,,Inventory Finished goods Product C,,3080214.02,-3080214.02,,,,,Product C
2022-03-17,3,2022,,Sales Revenue,,3772578.00,-3772578.00,,,,Product C,Client 1
2022-03-17,3,2022,,Sales Revenue,,446978.00,-446978.00,,,,Product A,Client 7
2022-03-17,3,2022,,Sales Revenue,,372166.00,-372166.00,,,,Product A,Client 10
2022-03-18,3,2022,,Accounts Receivable,421857.00,,421857.00,,,,Product A,Client 5
2022-03-18,3,2022,,Cost of goods sold,295462.72,,295462.72,,,,,Product A
2022-03-18,3,2022,,Inventory Finished goods Product A,,295462.72,-295462.72,,,,,Product A
2022-03-18,3,2022,,Sales Revenue,,421857.00,-421857.00,,,,Product A,Client 5
2022-03-19,3,2022,,Accounts Receivable,861150.00,,861150.00,,,,Product B,Client 4
2022-03-19,3,2022,,Cost of goods sold,742690.21,,742690.21,,,,,Product B
2022-03-19,3,2022,,Inventory Finished goods Product B,,742690.21,-742690.21,,,,,Product B
2022-03-19,3,2022,,Sales Revenue,,861150.00,-861150.00,,,,Product B,Client 4
2022-03-21,3,2022,,Accounts Payable,800000.00,,800000.00,,,,Component 1, Supplier A 
2022-03-21,3,2022,,Cash and cash equivalents,,800000.00,-800000.00,,,,Component 1, Supplier A 
2022-03-24,3,2022,,Accounts Receivable,1402960.00,,1402960.00,,,,Product B,Client 8
2022-03-24,3,2022,,Cost of goods sold,1163431.56,,1163431.56,,,,,Product B
2022-03-24,3,2022,,Inventory Finished goods Product B,,1163431.56,-1163431.56,,,,,Product B
2022-03-24,3,2022,,Sales Revenue,,1402960.00,-1402960.00,,,,Product B,Client 8
2022-03-26,3,2022,,Accounts Payable,1980000.00,,1980000.00,,,,Component 4, Supplier B 
2022-03-26,3,2022,,Cash and cash equivalents,,1980000.00,-1980000.00,,,,Component 4, Supplier B 
2022-03-27,3,2022,,Accounts Payable,2310000.00,,2310000.00,,,,Component 4, Supplier B 
2022-03-27,3,2022,,Cash and cash equivalents,,2310000.00,-2310000.00,,,,Component 4, Supplier B 
2022-03-28,3,2022,,Accounts Payable,945000.00,,945000.00,,,,Component 2, Supplier A 
2022-03-28,3,2022,,Accounts Receivable,1050962.00,,1050962.00,,,,Product A,Client 2
2022-03-28,3,2022,,Accounts Receivable,,1502664.00,-1502664.00,,,,Product A,Client 9
